px (Torr cm),v_x (cm s^-1)
0,NaN
0.015873015873015872,109735578.40752676
0.031746031746031744,134456718.52596346
0.047619047619047616,141653143.77231967
0.06349206349206349,159042680.58976316
0.07936507936507936,157696426.19816166
0.09523809523809523,176657685.77141583
0.1111111111111111,172200431.56606653
0.12698412698412698,177029278.16483426
0.14285714285714285,176623181.13981962
0.15873015873015872,179942611.4380269
0.1746031746031746,186035474.20966464
0.19047619047619047,188646554.54538092
0.20634920634920634,188513896.62930238
0.2222222222222222,199134621.36298332
0.2380952380952381,205359597.9115079
0.25396825396825395,205658547.4225479
0.2698412698412698,200021291.06246114
0.2857142857142857,201828765.2667467
0.3015873015873016,202420805.672113
0.31746031746031744,193836319.64540368
0.3333333333333333,193541381.65552312
0.3492063492063492,201691242.47929695
0.3650793650793651,205247570.70561144
0.38095238095238093,199197979.3598763
0.3968253968253968,185076993.36104715
0.4126984126984127,178868836.30000576
0.4285714285714286,180996488.9497356
0.4444444444444444,181344423.0887749
0.4603174603174603,177532638.53237846
0.4761904761904762,174870338.10200852
0.4920634920634921,173145191.55546582
0.5079365079365079,178638276.44494906
0.5238095238095238,173083553.13390693
0.5396825396825397,170587898.8105327
0.5555555555555556,167262503.1066179
0.5714285714285714,165644477.72322953
0.5873015873015873,162083839.5359203
0.6031746031746033,159177472.35053006
0.6190476190476191,159865690.97554454
0.6349206349206349,153203624.08254737
0.6507936507936508,159687352.51564705
0.6666666666666666,155756973.43439284
0.6825396825396826,153055874.37904403
0.6984126984126984,164952522.31988072
0.7142857142857143,160586282.76699692
0.7301587301587302,156112557.5951826
0.746031746031746,154428247.7673836
0.7619047619047619,152906946.72113353
0.7777777777777778,133980376.09080611
0.7936507936507936,136497011.0926602
0.8095238095238094,137199374.77559802
0.8253968253968254,130811640.66941905
0.8412698412698414,126315918.44744301
0.8571428571428572,134851726.22723842
0.873015873015873,119519469.40869871
0.8888888888888888,129073246.98028706
0.9047619047619048,114775915.0947928
0.9206349206349206,110987208.83623375
0.9365079365079364,110153940.79146925
0.9523809523809524,103466493.50608194
0.9682539682539684,114536146.59132771
0.9841269841269842,111614117.26957627
1,98622661.52832216
1.0158730158730158,108308896.28490297
1.0317460317460316,106210466.46429351
1.0476190476190477,104419916.71352436
1.0634920634920635,100776948.88767101
1.0793650793650793,90925977.3326519
1.0952380952380953,90068093.2192418
1.1111111111111112,89289820.45215514
1.126984126984127,87075224.58965263
1.1428571428571428,84305555.59496914
1.1587301587301586,84029982.74059665
1.1746031746031746,90557872.73732595
1.1904761904761905,80907263.35858655
1.2063492063492065,86350635.83817507
1.2222222222222223,77735968.04143402
1.2380952380952381,77422131.3250935
1.253968253968254,76337968.50420599
1.2698412698412698,76619009.63041347
1.2857142857142856,76166345.51132824
1.3015873015873016,69504893.8317267
1.3174603174603174,70154775.26664326
1.3333333333333333,71333400.91886114
1.3492063492063493,71371611.06109653
1.3650793650793651,71983268.72759287
1.380952380952381,72527632.90191641
1.3968253968253967,72189823.21587542
1.4126984126984126,71582432.31160015
1.4285714285714286,69711718.77130793
1.4444444444444444,70452017.16230395
1.4603174603174605,70348490.06008992
1.4761904761904763,71317552.40713659
1.492063492063492,70370064.0518255
1.507936507936508,70287596.6476337
1.5238095238095237,69931142.97488047
1.5396825396825398,70544952.94977206
1.5555555555555556,70390495.04472068
1.5714285714285716,69084296.55573753
1.5873015873015872,70049231.24217762
1.6031746031746033,69511774.9085463
1.6190476190476188,69027438.63975555
1.6349206349206349,69360980.98255259
1.6507936507936507,67811723.92800778
1.6666666666666667,69354905.35528183
1.6825396825396828,69022392.48747559
1.6984126984126984,68921697.19823676
1.7142857142857144,69530885.52564664
1.73015873015873,70340380.22696027
1.746031746031746,70323739.98454057
1.7619047619047619,68510445.65772137
1.7777777777777777,70917919.23117743
1.7936507936507937,70420978.83660403
1.8095238095238095,70448717.99153358
1.8253968253968256,70714184.67124304
1.8412698412698412,69994357.95064047
1.8571428571428572,71193255.07787947
1.8730158730158728,70573507.99894963
1.8888888888888888,72088715.05070429
1.9047619047619049,71164659.01353194
1.9206349206349207,72922883.28761967
1.9365079365079367,72918657.87818965
1.9523809523809523,74174428.407688
1.9682539682539684,76571944.11841728
1.984126984126984,87954995.5190788
